nome,cpf,data_nascimento,email,logradouro,numero,complemento,bairro,cidade,estado,cep
Maria Sophia da Luz,304.862.795-29,1930-06-18,ecampos@nunes.com,Rodovia Agatha Sales,96,,Jatobá,da Costa,PI,24101284
Sr. Gustavo Henrique Carvalho,315.624.987-46,1947-06-14,fcastro@cunha.com,Rua Correia,3,,Miramar,Rocha,MG,41086373
Luiz Henrique da Mata,409.253.167-25,1936-11-26,yurilopes@cardoso.com,Vereda Benício Ribeiro,65,,Milionario,Silveira,RO,45224-394
Ana Lívia Cardoso,348.706.219-40,1949-02-11,erickpires@viana.com,Recanto da Rocha,56,,São João,Fogaça do Amparo,ES,05865-904
Manuela Duarte,063.429.157-25,1990-07-20,silvaotavio@da.org,Trecho de Souza,10,,Jardim América,Gomes dos Dourados,MT,48639592
Gabriela Viana,138.409.675-20,1990-03-12,da-cunhavinicius@gmail.com,Morro Daniela Campos,563,,São José,Araújo da Praia,RO,33544-018
Ana Luiza Fogaça,870.359.642-74,1931-08-09,jda-rocha@da.br,Rodovia Felipe Farias,70,,Palmares,Jesus Grande,MT,85956-059
Sr. Rodrigo Viana,263.758.901-95,1997-09-15,danielrezende@ig.com.br,Lagoa de Castro,41,,Comiteco,Costa,MS,06557-014
Bryan Alves,284.360.751-53,1974-05-07,joao-guilherme61@yahoo.com.br,Sítio Moreira,90,,Vila Independencia 1ª Seção,Mendes,DF,08024-792
Raul Costa,096.824.751-20,1969-02-04,joao-miguelcastro@ig.com.br,Morro Jesus,12,,Alto Das Antenas,Costa,MT,72145-752
Cauê da Mata,109.873.654-01,1955-11-27,enzo-gabriel74@uol.com.br,Ladeira de Melo,7,,Monte São José,Cunha do Sul,BA,62160-697
Matheus Nunes,984.352.176-55,2007-01-21,luiz-miguel71@bol.com.br,Estação Davi Lucca da Paz,67,,Castelo,da Cruz,DF,37773-487
Gustavo da Costa,219.865.740-67,1982-05-15,murilo81@mendes.org,Sítio Vieira,2,,Floramar,Mendes do Norte,PA,885308
Laura Moura,217.530.684-44,1998-08-15,costelaemanuel@gmail.com,Chácara Costela,6,,Indaiá,Cardoso do Oeste,RR,41658-778
Dra. Mariane Rodrigues,095.718.643-66,1946-11-11,pedro75@ig.com.br,Área de Rocha,21,,Vila Betânia,Santos Alegre,PE,18986706
Fernando Dias,618.432.907-31,1953-09-26,bruna49@bol.com.br,Distrito da Cruz,49,,Vila Cloris,Rodrigues Paulista,PB,47238-286
Helena Moura,064.731.825-35,1951-02-11,joao-felipefernandes@hotmail.com,Alameda Anthony Silveira,33,,Novo Ouro Preto,Correia do Oeste,GO,99579-058
Luiz Henrique Vieira,315.046.897-39,1942-02-10,luiz-felipenunes@nogueira.com,Favela Gabriela Castro,4,,Santa Helena,Barbosa,SC,76456392
Bianca Jesus,409.871.265-20,2009-01-13,marcelada-rosa@campos.com,Conjunto de Moreira,56,,Caetano Furquim,Farias,MT,20460500
João Pedro Nogueira,305.846.719-20,1956-09-04,bryanpereira@sales.br,Esplanada Helena Aragão,509,,Boa União 1ª Seção,Dias,DF,55657551
Sra. Sophia Moura,748.951.236-00,1933-08-10,ecardoso@ig.com.br,Praia Thomas Souza,686,,Lagoinha Leblon,Santos,SP,13628-794
Catarina Moreira,812.739.406-87,1954-06-12,nicolemelo@yahoo.com.br,Via Maitê Nogueira,2,,Santana Do Cafezal,Moreira da Prata,AC,21977519
Raquel da Rosa,036.142.985-15,1968-10-09,hda-costa@da.br,Sítio Farias,1,,Ademar Maldonado,Cavalcanti da Praia,RN,74288758
Miguel Melo,873.402.169-87,2009-04-03,yjesus@ig.com.br,Estrada Luiz Felipe Santos,951,,São Jorge 3ª Seção,Nascimento,PR,48008-692
Samuel Barros,509.813.427-79,1986-09-04,da-costalorenzo@pereira.org,Vale Carlos Eduardo Barbosa,7,,Vila São Paulo,Aragão Grande,PB,33924277
Lucca Campos,280.549.637-00,1952-06-25,carlos-eduardo61@uol.com.br,Viaduto da Conceição,11,,Inconfidência,Teixeira,SE,88768525
Dra. Vitória Cunha,641.397.802-31,1977-10-09,salesnicolas@bol.com.br,Pátio de da Cunha,5,,Dom Cabral,Cavalcanti,BA,46249399
Sr. Anthony Lopes,264.370.519-06,1952-11-19,cda-mata@bol.com.br,Alameda Marcos Vinicius Rodrigues,46,,São Vicente,Rocha,PA,16476-511
Sabrina Barros,124.759.380-05,1969-05-28,alice54@uol.com.br,Praça de Rocha,778,,Tupi A,Almeida,AC,13421-579
Isabel Aragão,791.562.408-30,1949-12-21,fariasjoao-lucas@nunes.net,Loteamento Heloísa Fogaça,32,,Trevo,Almeida,DF,60489-265
Heloísa Moura,384.759.261-00,1966-11-28,cardosoisabelly@rodrigues.net,Avenida Levi Aragão,12,,São Gabriel,Castro,CE,86661-731
Thiago Silva,120.836.754-44,1966-05-29,esther13@nascimento.com,Passarela Melo,35,,Tupi B,Martins,RN,04613-412
Melissa Oliveira,629.481.073-69,1968-03-04,xcavalcanti@rezende.com,Condomínio Laís Lima,87,,Vila Bandeirantes,Silva das Pedras,SC,60607876
Agatha Jesus,695.437.201-34,1943-12-23,kamillyrodrigues@ig.com.br,Largo de Souza,94,,Minaslandia,Costa,CE,25346783
Ana Lívia Ferreira,509.841.723-60,1971-10-23,stephany07@ig.com.br,Morro de Ribeiro,23,,Confisco,Cardoso do Amparo,RR,1893922
Isaac Moreira,925.476.083-83,1988-09-15,carvalhojoao-pedro@viana.br,Praça Mirella Monteiro,142,,Vila Da Ária,Novaes,PE,43510-736
Dra. Stephany da Paz,085.214.396-60,1973-03-14,davi-lucas20@melo.org,Alameda Davi Luiz Santos,31,,Marieta 2ª Seção,Barbosa de Novaes,TO,72133460
Ana Júlia da Mata,163.508.724-44,1947-05-16,helena44@hotmail.com,Loteamento de Monteiro,29,,Madri,Moreira,MG,63851645
Maria Clara Barbosa,263.874.019-50,1956-10-25,frocha@bol.com.br,Residencial de Fogaça,952,,Alto Vera Cruz,Santos,SP,58290614
Rafaela Moura,748.621.590-01,1959-08-16,rezenderebeca@pires.com,Praça Porto,53,,São José,Viana do Oeste,MG,95166-082
Isis Costela,632.540.918-33,1970-02-24,xcorreia@hotmail.com,Favela de Costela,9,,Boa União 1ª Seção,Pinto,RS,60306610
Sr. Enzo da Luz,482.391.560-70,1990-12-21,melissaviana@da.br,Trevo Beatriz Barbosa,29,,São Francisco Das Chagas,Moura,RS,32987946
Leandro Rocha,782.690.413-78,2007-07-04,castroalexandre@ferreira.br,Estação de Vieira,792,,Baleia,Almeida de Melo,TO,34084412
Dr. Nicolas Peixoto,619.047.385-75,1973-10-23,stephany64@yahoo.com.br,Quadra de Oliveira,27,,Alpes,Pereira do Galho,SP,58580-223
Nina Moreira,398.017.426-31,1949-08-28,luigicampos@bol.com.br,Viela da Cunha,6,,Santo Antônio,Barros da Serra,RN,45121785
Amanda Oliveira,897.543.162-28,1943-10-24,luigi23@cavalcanti.br,Travessa Viana,502,,Miramar,Lima do Amparo,AP,12936-222
Dr. Davi Lucca da Mota,981.675.203-40,1999-12-26,scorreia@silva.com,Praça Melo,7,,São Cristóvão,da Conceição de Goiás,MT,27011-509
Elisa Duarte,072.984.613-03,1938-07-30,joao-lucascastro@gmail.com,Fazenda das Neves,26,,Maravilha,Lima do Amparo,TO,66919-334
Dr. Bernardo da Paz,245.618.937-09,2008-12-02,luiz-felipe82@castro.net,Condomínio Ana Lívia Costela,91,,Conjunto Califórnia I,Souza Grande,RR,21096-149
Sr. Breno Martins,980.634.215-15,1937-08-23,lais02@martins.net,Conjunto Erick Santos,2,,Alto Vera Cruz,Vieira,RJ,70810-405
Bianca Fogaça,513.627.049-70,1968-07-01,rporto@uol.com.br,Estação de Nascimento,907,,Vila Madre Gertrudes 2ª Seção,Jesus de Vieira,DF,88998-072
Augusto Lima,908.274.351-50,1956-04-23,manuelacardoso@cardoso.net,Pátio de Gomes,36,,Vale Do Jatoba,Barbosa do Campo,CE,36951520
Dra. Laura Peixoto,408.795.263-00,1994-12-14,lorenzo61@yahoo.com.br,Sítio Catarina Rocha,68,,Suzana,Ramos de Alves,SE,40544-310
Catarina Viana,146.892.735-37,1987-09-08,nteixeira@da.br,Conjunto Guilherme da Rocha,209,,Vila Santa Monica 2ª Seção,Souza,MA,54919669
Lívia Dias,192.783.460-04,1935-01-17,nathanlopes@lopes.br,Rodovia de Martins,16,,Milionario,Lima,RS,33205-442
Emanuel Moura,564.921.803-05,1962-03-10,yasminda-mata@da.net,Rodovia de Nogueira,763,,Conjunto Celso Machado,Silveira de Gomes,SP,35851781
João Vitor Monteiro,065.238.497-83,2001-12-16,camilaferreira@bol.com.br,Núcleo de Barbosa,7,,Cardoso,da Costa da Prata,RS,27439816
Lucca Viana,703.984.561-00,2009-12-28,kevinviana@ig.com.br,Viela Theo Mendes,15,,Belmonte,Pires da Prata,PR,81598358
Pedro Miguel Araújo,580.297.146-02,1947-12-10,freitasheitor@yahoo.com.br,Lagoa da Luz,97,,São João,Sales de Mendes,AM,70588998
Miguel Teixeira,693.745.218-73,1955-04-30,moraesjulia@da.br,Aeroporto Thiago da Cunha,59,,Vila Ecológica,Lopes Paulista,TO,10265744
João Felipe Correia,382.796.145-91,1987-04-14,goncalvesluna@fogaca.com,Distrito Bianca Martins,680,,Vila Fumec,da Cruz,RO,61451123
Lucas Gabriel Rezende,012.846.359-70,2007-05-09,bferreira@da.br,Pátio Diego Dias,46,,Prado,Ferreira Verde,ES,58924-949
André Caldeira,458.209.613-15,1974-08-15,aragaofernanda@oliveira.com,Vereda Nogueira,5,,Monte São José,Monteiro da Serra,GO,92704134
Gustavo da Mota,319.508.476-75,1949-02-03,fariascaue@bol.com.br,Chácara da Mota,87,,Vila Formosa,da Conceição Alegre,PA,71895773
Daniela Alves,805.621.394-51,1993-07-07,leonardoda-cruz@dias.net,Praia Arthur Gomes,40,,Mariquinhas,da Mota Paulista,TO,82779-867
Gustavo da Rosa,957.681.042-67,1967-03-02,henriqueda-costa@da.br,Vale Barbosa,51,,Vila Tirol,Santos do Norte,PA,48293622
Ana Vitória Araújo,721.960.348-78,1951-08-30,carvalhojuliana@azevedo.org,Praça Ana Laura Cavalcanti,502,,Universitário,Rodrigues,ES,85395-121
Dra. Alexia da Mota,201.467.859-67,1989-11-13,cavalcantigabriel@uol.com.br,Quadra João Guilherme Rodrigues,58,,Barão Homem De Melo 2ª Seção,Porto,SP,98180716
Stephany Moreira,618.027.359-68,2004-04-23,juanda-rosa@uol.com.br,Aeroporto Bruna Araújo,39,,Luxemburgo,Nascimento,RJ,2142785
Isadora Gonçalves,715.349.206-25,1964-08-06,larasantos@bol.com.br,Quadra da Mota,81,,Vila Nova,Sales,GO,00170-003
